Entity,Code,Year,Sustainable Development Goals (SDG) Regions
Malawi,MWI,2024,Sub-Saharan Africa
Malaysia,MYS,2024,Eastern and South-Eastern Asia
Maldives,MDV,2024,Central and Southern Asia
Mali,MLI,2024,Sub-Saharan Africa
Malta,MLT,2024,Europe and Northern America
Marshall Islands,MHL,2024,Oceania
Martinique,MTQ,2024,Latin America and the Caribbean
Mauritania,MRT,2024,Sub-Saharan Africa
Mauritius,MUS,2024,Sub-Saharan Africa
Mayotte,MYT,2024,Sub-Saharan Africa
Mexico,MEX,2024,Latin America and the Caribbean
Micronesia (country),FSM,2024,Oceania
Moldova,MDA,2024,Europe and Northern America
Monaco,MCO,2024,Europe and Northern America
Mongolia,MNG,2024,Eastern and South-Eastern Asia
Montenegro,MNE,2024,Europe and Northern America
Montserrat,MSR,2024,Latin America and the Caribbean
Morocco,MAR,2024,Northern Africa and Western Asia
Mozambique,MOZ,2024,Sub-Saharan Africa
Myanmar,MMR,2024,Eastern and South-Eastern Asia
Namibia,NAM,2024,Sub-Saharan Africa
Nauru,NRU,2024,Oceania
Nepal,NPL,2024,Central and Southern Asia
Netherlands,NLD,2024,Europe and Northern America
New Caledonia,NCL,2024,Oceania
New Zealand,NZL,2024,Australia and New Zealand
Nicaragua,NIC,2024,Latin America and the Caribbean
Niger,NER,2024,Sub-Saharan Africa
Nigeria,NGA,2024,Sub-Saharan Africa
Niue,NIU,2024,Oceania
Norfolk Island,NFK,2024,Australia and New Zealand
North Korea,PRK,2024,Eastern and South-Eastern Asia
North Macedonia,MKD,2024,Europe and Northern America
Northern Mariana Islands,MNP,2024,Oceania
Norway,NOR,2024,Europe and Northern America
Oman,OMN,2024,Northern Africa and Western Asia
Pakistan,PAK,2024,Central and Southern Asia
Palau,PLW,2024,Oceania
Palestine,PSE,2024,Northern Africa and Western Asia
Panama,PAN,2024,Latin America and the Caribbean
Papua New Guinea,PNG,2024,Oceania
Paraguay,PRY,2024,Latin America and the Caribbean
Peru,PER,2024,Latin America and the Caribbean
Philippines,PHL,2024,Eastern and South-Eastern Asia
Pitcairn,PCN,2024,Oceania
Poland,POL,2024,Europe and Northern America
Portugal,PRT,2024,Europe and Northern America
Puerto Rico,PRI,2024,Latin America and the Caribbean
Qatar,QAT,2024,Northern Africa and Western Asia
Reunion,REU,2024,Sub-Saharan Africa
Romania,ROU,2024,Europe and Northern America
Russia,RUS,2024,Europe and Northern America
Rwanda,RWA,2024,Sub-Saharan Africa
Saint Barthelemy,BLM,2024,Latin America and the Caribbean
Saint Helena,SHN,2024,Sub-Saharan Africa
Saint Kitts and Nevis,KNA,2024,Latin America and the Caribbean
Saint Lucia,LCA,2024,Latin America and the Caribbean
Saint Martin (French part),MAF,2024,Latin America and the Caribbean
Saint Pierre and Miquelon,SPM,2024,Europe and Northern America
Saint Vincent and the Grenadines,VCT,2024,Latin America and the Caribbean
Samoa,WSM,2024,Oceania
San Marino,SMR,2024,Europe and Northern America
Sao Tome and Principe,STP,2024,Sub-Saharan Africa
Saudi Arabia,SAU,2024,Northern Africa and Western Asia
Senegal,SEN,2024,Sub-Saharan Africa
Serbia,SRB,2024,Europe and Northern America
Seychelles,SYC,2024,Sub-Saharan Africa
Sierra Leone,SLE,2024,Sub-Saharan Africa
Singapore,SGP,2024,Eastern and South-Eastern Asia
Sint Maarten (Dutch part),SXM,2024,Latin America and the Caribbean
Slovakia,SVK,2024,Europe and Northern America
Slovenia,SVN,2024,Europe and Northern America
Solomon Islands,SLB,2024,Oceania
Somalia,SOM,2024,Sub-Saharan Africa
South Africa,ZAF,2024,Sub-Saharan Africa
South Georgia and the South Sandwich Islands,SGS,2024,Latin America and the Caribbean
South Korea,KOR,2024,Eastern and South-Eastern Asia
South Sudan,SSD,2024,Sub-Saharan Africa
Spain,ESP,2024,Europe and Northern America
Sri Lanka,LKA,2024,Central and Southern Asia
Sudan,SDN,2024,Northern Africa and Western Asia
Suriname,SUR,2024,Latin America and the Caribbean
Svalbard and Jan Mayen,SJM,2024,Europe and Northern America
Sweden,SWE,2024,Europe and Northern America
Switzerland,CHE,2024,Europe and Northern America
Syria,SYR,2024,Northern Africa and Western Asia
Tajikistan,TJK,2024,Central and Southern Asia
Tanzania,TZA,2024,Sub-Saharan Africa
Thailand,THA,2024,Eastern and South-Eastern Asia
Togo,TGO,2024,Sub-Saharan Africa
Tokelau,TKL,2024,Oceania
Tonga,TON,2024,Oceania
Trinidad and Tobago,TTO,2024,Latin America and the Caribbean
Tunisia,TUN,2024,Northern Africa and Western Asia
Turkey,TUR,2024,Northern Africa and Western Asia
Turkmenistan,TKM,2024,Central and Southern Asia
Turks and Caicos Islands,TCA,2024,Latin America and the Caribbean
Tuvalu,TUV,2024,Oceania
Uganda,UGA,2024,Sub-Saharan Africa
Ukraine,UKR,2024,Europe and Northern America
United Arab Emirates,ARE,2024,Northern Africa and Western Asia
United Kingdom,GBR,2024,Europe and Northern America
United States,USA,2024,Europe and Northern America
United States Minor Outlying Islands,UMI,2024,Oceania
United States Virgin Islands,VIR,2024,Latin America and the Caribbean
Uruguay,URY,2024,Latin America and the Caribbean
Uzbekistan,UZB,2024,Central and Southern Asia
Vanuatu,VUT,2024,Oceania
Vatican,VAT,2024,Europe and Northern America
Venezuela,VEN,2024,Latin America and the Caribbean
Vietnam,VNM,2024,Eastern and South-Eastern Asia
Wallis and Futuna,WLF,2024,Oceania
Western Sahara,ESH,2024,Northern Africa and Western Asia
Yemen,YEM,2024,Northern Africa and Western Asia
Zambia,ZMB,2024,Sub-Saharan Africa
Zimbabwe,ZWE,2024,Sub-Saharan Africa
